name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Data Quality Engineer / Data Analyst,з/п не указана,"X5 RETAIL GROUP, Tech",Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Анабар — система аналитики и автоматизации продаж в маркетплейсах. С нашей системой аналитики и автоматизации продавцы повышают рентабельность бизнеса и допускают...Нам нужна сильная команда, способная находить новые решения, умеющая подстраиваться под изменения рынка и действительно желающая стать лидером на рынке...",SQL Pytho,https://hh.ru/vacancy/55231847?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,Тинькофф,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Писать запросы к базам данных. Программировать средства автоматизации сбора данных. Формировать содержимое баз данных на основе уже существующих данных. Владеет инструментами и методами ETL, например - Apache Nifi. Знает SQL и умеет писать сложные запросы. Умеет манипулировать большими объемами данных...",Python SQL Java ООП Pandas DWH Базы данных ET,https://hh.ru/vacancy/55212183?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Business Data Engineer,з/п не указана,Тинькофф,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа",You will be involved in preparation Management Reports for HQ biannually and for some jurisdictions - on a quarterly basis. Feel free to apply if you have 5 years or more of experience in Big4 and/or financial controlling...,SQL Hadoop Работа с базами данных ETL Базы данных DWH СУБ,https://hh.ru/vacancy/49971464?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data engineer/ Инженер по данным (удаленно),з/п не указана,билайн: ИТ и Digital,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Писать запросы к базам данных. Программировать средства автоматизации сбора данных. Формировать содержимое баз данных на основе уже существующих данных. Владеет инструментами и методами ETL, например - Apache Nifi. Знает SQL и умеет писать сложные запросы. Умеет манипулировать большими объемами данных...",SQL ETL Spark SCALA Kafka ORACLE Hadoop NiFi Flink Airflow HDFS Linux PostgreSQL Apache Hive map reduce Big Data CI/C,https://hh.ru/vacancy/55218492?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,Devim,Санкт-Петербург,,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Привет! На связи Devim. Для начала – немного о нас Мы – продуктовая it-компания: в финтехе мы уже больше 7 лет, разрабатываем финансовые сервисы и цифровые платформы любой сложности, системы интернет-банкинга и мобильные приложения с нуля, совмещаем разработку и интеграцию, внедряем CRM и создаём SaaS-решения. Devim – это про финтех, свободу и непрерывное развитие. Сейчас мы ищем талантливого Data Engineer, вместе с которым будем строить и развивать архитектуру Data Platform. Для того, чтобы наши пользователи имели возможность проводить анализ данных, строить табличные отчеты и интерактивные дашборды с множеством метрик и срезов, как за прошедшие временные периоды, так и в Real-Time режиме. Что будет входить в твои задачи:   Развивать архитектуру обработки и доставки данных;   Наладить поставку данных для продуктовых аналитиков и data science;   Проектировать и внедрять ETL / ELT процессы;   Проектировать и поддерживать модели данных DWH;   Наладить Real-Time обработку и поставку данных в DWH для быстрого доступа;   Получать данные из различных источников (внутренние БД, внешние аналитические/маркетинговые платформы) в DWH;   Создавать новые и оптимизировать имеющиеся витрины данных;   Решать технические проблемы, анализировать производительность, оптимизировать использование ресурсов;   Организовать мониторинг данных, проверять консистентность данных в источнике и DWH;   Поддерживать команду аналитики.   Что для нас важно:   Опыт разработки ETL / ELT;   Опыт построения витрин данных;   Уверенное владение SQL, оптимизация запросов;   Знание Clickhouse, Postgres, MS SQL;   Уверенное владение Go / Python;   Знакомство с инструментами визуализации данных - Metabase / Superset / PowerBI / Grafana.   Будет плюсом:   Опыт проектирования и разработки хранилищ данных и аналитической отчетности.   Что мы предлагаем в ответ:   Конкурентную зарплату – мы готовы отталкиваться от ожиданий кандидатов;   Гибкий подход к рабочему графику (гибрид/удалёнка) – наш современный, уютный офис с соковыжималкой, массажным креслом и прочими плюшками находится в 10 минутах ходьбы от ст. м. «Старая деревня»;   Интересные задачи и возможность прокачать квалификацию – у нас продуктовая компания и сеньорная команда, а это значит: динамичные процессы, отсутствие бюрократии, профессиональные вызовы;   Поддержку в стремлении к развитию: по запросу отправляем на профессиональные конференции и тренинги, делимся опытом и радуемся достижениям;   Культуру открытости, прозрачности и здравого смысла – у нас нет формализма, есть драйв, отличные коллеги, с которыми приятно проводить время и воплощать в жизнь крутые проекты;   Адекватное и технически грамотное руководство и неформальное обсуждение задач;   Корпоративный английский для прокачивания скиллов, компенсацию занятий спортом и прочие бенефиты.   Будем рады ответить на все Ваши вопросы! Если ты хочешь:   Всё делать осмысленно.   Расти над собой.   Учиться на своих ошибках.   Учиться на чужих ошибках.   Много работать.   Много зарабатывать.   Всегда оставаться человеком.   Тебе к нам!",Python SQL Анализ данных PostgreSQL ClickHouse Базы данных ETL DW,https://hh.ru/vacancy/55155821?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer (MTS AI),з/п не указана,"ПАО «МТС», IT","Курская, Курская, Чкаловская, Москва, Подсосенский переулок, 23с5",https://hh.ru/search/vacancy/map?vacancy_id=55100061&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Сбор и обработка данных из корпоративных информационных хранилищ. Формирование набора данных для обучения моделей. Визуализация данных. Прогнозирование временных рядов. Знание ML методов. Отличное знание Python. Знание библиотек pandas, numpy, scikit-learn, xgboost, tensorflow, pytorch. Знание SQL. Умение работать с...",,https://hh.ru/vacancy/55100061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,от 1 800 до 2 600 USD на руки,ИП Muxtarova Anna Irikovna,Ташкент,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Требования:  Python, Bash-scripting. Приветствуются R, Java Уверенный пользователь MacOS, Linux Уверенные знания PostgreSQL, знакомство с NoSQL. Приветствуются Cassandra, HBase Опыт проектирования и внедрения высоконагруженных БД Умение проектировать архитектуру хранилища данных Умение организовать потоки данных Умение писать техническую документацию Желателен опыт работы с Hadoop-based решениями Обязательны опыт использования сервисов AWS и понимание архитектуры AWS и cloud-based Английский язык на уровне чтения технической документации  Условия:  Фуллтайм работа, удаленная или в офисе в Ташкенте Бонусы, перспективы, корпоративные бенефиты ",Английский — B1 — Средний Cassandra PostgreSQL Python NoSQL HBase AW,https://hh.ru/vacancy/54848679?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,от 150 000 руб. до вычета налогов,ЛИЦА,"Москва, Дербеневская набережная, 7с5",https://hh.ru/search/vacancy/map?vacancy_id=54349726&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Вакансия открыта в компании Reshape Analytics, помогающей людям и организациям принимать оптимальные решения на основе данных и продвинутой аналитики. Небольшая бирюзовая команда делает большие проекты для крупнейших компании России и Казахстана, рост выручки за прошлый год составил х3. Компания является №1 в России по low-code аналитике. Продукты компании: управленческий и операционный консалтинг в сфере аналитики и аналитические решения (в том числе собственные). Реализуются, чаще всего, на платформах Loginom и Alteryx. Основная задача Data Engineer – выстраивание и развитие процессов обработки данных с использованием одного из ресурсов: Azur, Yandex. Cloud, MTS Cloud, Tencert. Работа в составе продуктовых и проектных команд.   Обязанности:   Настройка и администрирование ресурсов на облачных платформах. Сейчас используем Azure – опыт с этой платформой, а также организации переезда с неё на другие приветствуется (рассматриваем Yandex.Cloud, MTS Cloud, Tencent и другие).   Построение надежных и оптимальных пайплайнов обработки данных, работа с DWH и ETL процессами.   Интеграция с новыми источниками данных.   Оптимизация вычислений.   Организация и реализация процесса совершенствования Data Quality.   Требования:   Опыт работы на позиции дата инженера или DWH разработчика не менее 3 лет.   Понимание реляционной модели данных, знание принципов и подходов проектирования баз данных.   Навыки реализации оркестрации.   Опыт работы с БД и оптимизации запросов, знания SQL.   Знания в области построения витрин данных.   Образование в сфере компьютерных наук/информатики – преимущество.   Условия:   Гибридный формат работы для кандидатов из Москвы (офис – Дербеневская наб. 7, стр. 5 + удалёнка 2 раза в неделю) или 100% удалённый формат работы для кандидатов из других городов.   Полный рабочий день (начало и окончание рабочего дня достаточно свободное, но не менее 8 часов total).   Программа развития сотрудников.   Зарплата от 150 тыс. рублей в зависимости от уровня компетенций.   Испытательный срок – до 3 месяцев.   Компенсация оплаты профильного обучения и профильных мероприятий, а также сдачи экзаменом на профильные сертификаты.   Различные варианты оформления (удобные для сотрудника).  ",SQL ETL SSRS Базы данных DWH Azure Tableau Oracle BI Microsoft BI Power BI Databases Big Data Oracle Database PowerBI SSIS MS SQL MS SQL Server ORACLE Оптимизация запросов Cистемы управления базами данных Администрирование BI Data Analysis Reporting 1С: Предприяти,https://hh.ru/vacancy/54349726?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Junior/Middle Data Engineer,з/п не указана,ПАО Ростелеком,"Румянцево, деревня Румянцево, Бизнес-парк Румянцево",https://hh.ru/search/vacancy/map?vacancy_id=47155956&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, data scientist-ами). Поиск и исследование источников данных для...Знает SQL на высоком уровне (в т. ч. DDL, табличные выражения, оконные функции). Пользовался AirFlow или другими оркестраторами – Oozie, Luigi...",SQL Big Data Hadoop ET,https://hh.ru/vacancy/47155956?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer с функциями разработки на Kotlin,от 150 000 до 250 000 руб. на руки,SpectrumData,"Геологическая, Екатеринбург, улица Добролюбова, 16/2",https://hh.ru/search/vacancy/map?vacancy_id=54594818&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Что-нибудь слышал про оценку и трекинг задач. Пишешь тесты. Работу в команде мобильной разработки (14 сотрудников, в направлении Android...Имеешь опыт в коммерческой разработке под Android. Знаешь Барбару Лисков! Можно не лично. Не забываешь писать комментарии. Читаешь на английском. ",Python SQL PostgreSQL Cassandra Spark Hadoop Jav,https://hh.ru/vacancy/54594818?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
