name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
"Machine Learning Engineer (ML, Infrastructure)",от 3 000 EUR на руки,Greenscreens.AI,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Greenscreens.ai is SaaS platform offering ML and Data Science-based freight price predictions for the US logistics market. We are a fast growing company and we recently raised a round of investment A. Part of engineering team work from an office in Vilnius, part remotely from Russia. Headquarter, sales, analytics and support in the US https://greenscreens.ai/ We are looking for a ML Engineer to grow and develop both ML engine and infrastructure parts of our system Responsibilities  Scale existing models and optimize performance (RPS, memory consumption) Work to automate AI/ML pipelines and cover end-to-end model’s lifecycle Build an infrastructure for training models and managing experiments Participate in the process for continuous improvement for Rate Engine by manipulation with different algorithms, experimenting with new features and their encoding, filtering data Responsible for helping with building learning pipelines (import, filter, train, deploy) using Python, TensorFlow, SKLearn, and SQL Development of complex business logic in Python, which is needed to integrate machine learning models into business processes  Skills  3+ years work experience as a Data Scientist/ML Engineer or similar role Familiar with Python (jupyter notebook, pandas, numpy) Experience with popular ML frameworks (tensorflow, sklearn) Knowledge of main ML algorithms (NNs, xgboost, random forest, linear regression) Experience with PostgreSQL; Using Unit Testing in Development Nice to have experience in designing REST APIs, Git, Microservices Nice to have experience with Docker and Kubernetes, AWS/GCP Nice to have experience with CICD pipelines and DevOps/DevSecOps engineering  Nice to have experience with C++, Rust, or any other low-level language   We offer:  Salary in Euro Options in a fast growing startup Remote work ",Английский — B1 — Средний ML Gitlab CI AWS Machine Learning Docker CI/CD ООП Design Patterns Git Microservices Data Mining Python Kubernetes PostgreSQL SQ,https://hh.ru/vacancy/53209019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=machine%20learning
Разработчик Machine Learning,от 200 000 до 250 000 руб. на руки,"Megaputer Intelligence, Компания","Москва, Бауманская улица, 6с2",https://hh.ru/search/vacancy/map?vacancy_id=51187368&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Международная компания Megaputer Intelligence, одна из ведущих компаний в области data/text mining, в связи с расширением, ищет талантливых программистов для работы над дальнейшим развитием своих продуктов. Программы и методы решения компании Megaputer Intelligence используют в производственной сфере 20 компаний из Fortune 100, восемь федеральных правительственных служб и сотни компаний во всем мире. В данный момент в компании открыто несколько позиций, связанных с ML -- в отдел анализа текстов. Требования:   Высшее образование   Знание классических алгоритмов и структур данных   Python и/или C++   Pytorch, TensorFlow или релевантный опыт с похожими библиотеками   Практические знания основных методов Machine Learning   Технический английский   Приветствуется:   Опыт решения NLP задач с использованием Transformer   Знание С/С++, STL, принципов ООП   Кандидатская степень или публикации в высокорейтинговых журналах     Предлагаемые условия:  Достойный фиксированный оклад (полностью официальный) Полное соблюдение ТК РФ, испытательный срок до 3 месяцев Гибкий график в пределах рабочего дня Возможность удалённой работы в период коронавируса Стабильная и интересная работа Возможности профессионального роста и карьерные перспективы Дружный коллектив единомышленников и демократичная обстановка Удобный офис в 5 мин от метро Бауманская или 10 мин от метро Красносельская Мощный компьютер с двумя мониторами     ",Python Mathematical Programming Machine Learnin,https://hh.ru/vacancy/51187368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=machine%20learning
Machine Learning Engineer,з/п не указана,ООО GlowByte,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, гибкий график","GlowByte - лидер в сфере разработки Business Intelligence решений. Компания на рынке с 1997 года. Сегодня нас выбирают лидеры своих отраслей: крупнейшие банки (17 из Топ-20), телеком и сотовые операторы (все компании большой четверки), крупнейшие ритейлеры и логистические компании - с каждым годом этот список растет. GlowByte - международная компания, наши офисы располагаются в России, Украине, Белоруссии, Европе и в США. Мы создаем: ● Платформы хранения и анализа данных (DWH/BI) ● Аналитические и операционные CRM ● Системы принятия решений и управления рисками ● Аналитические модели и решения на базе Machine Learning   Сегодня нас больше 1800 человек, и мы ищем специалиста-практика в одну из наших команд, который будет решать задачи на пересечении таких направлений как Data Science, Software Engineering и DevOps.   Какие задачи будут стоять ● Изучение, трансформация и внедрение прототипов, подготовленных специалистами Data Science. ● Разработка AI/ML приложений согласно требованиям заказчика, доработка ML-библиотек. Изучение и внедрение ML алгоритмов и инструментов. ● Дизайн и построение масштабируемых ML-решений. Участие в интеграции аналитических приложений в инфраструктуру заказчика. ● Совместная работа с инженерами данных и Data Science специалистами для построения пайплайнов моделей и данных. ● Тестирование моделей / пайплайнов машинного обучения, улучшение моделей / пайплайнов по результатам тестирования. ● Участие в процессах подготовки и тестирования данных для моделей машинного обучения. Выявление разницы в распределении данных, которая может повлиять на качество работы моделей в продуктиве. ● Оптимизация и автоматизация процессов обучения и переобучения моделей ● Изучение ML фреймворков и лучших практик, для улучшения подходов к созданию ML решений и инфраструктуры   Мы ожидаем, что вы обладаете следующими знаниями и навыками: ●  Опыт работы Python-разработчиком в различных областях ● Понимание и умение применять на практике алгоритмы и структуры данных ● ООП, понимание SOLID, Hexagonal Architecture, Clean Architecture ● Опыт работы хотя бы с одним из Python API-фреймворков (Flask, FastAPI, Django) ● Опыт работы с SQL ● Знания в областях AI и обработки данных, опыт работы с основными ML фреймворками (Tensorflow, Pythorch, SKLearn) и алгоритмами машинного обучения. (Мы предполагаем, что вы будете использовать модели с уже заданными архитектурами, а не создавать свои собственные) ● Знакомство с выводом ML моделей в промышленную эксплуатацию ● Умение создавать и внедрять Docker контейнеры ● Опыт работы с Git, знакомство с инструментами CI/CD ● Рассчитываем на то, что вы умеете общаться с коллегами и объяснять сложные концепции даже тем, кто не имеет опыта программной разработки. Будет важным плюсом: ● Опыт создания аналитических приложений с помощью R-Shiny или Dash ● Знание Spark, умение работать с Kafka ● Знание и умение работать с K8s ● Опыт разработки микросервисных приложений ● Опыт работы с облачными провайдерами (AWS, Azure, GCP, Яндекс Облако) ● Опыт работы в подразделениях Data Science, Data Engineering или DevOps.   У нас Вы получите возможность ● Работать с широким стеком современных технологий и инструментов (в том числе open source) ● Придумывать решение для многих задач (best practices в этой сфере только формируются) ● Участвовать в проектировании архитектуры приложений с нуля ● Работать с крупнейшими компаниями России и СНГ ● Развиваться в команде профессионалов высокого уровня ● Индивидуальный подход к профессиональному развитию ● Профессиональный коучинг от опытных наставников ● Получать профессиональное обучение и сертификацию за счет компании  ",Python Git SQL Docker ОО,https://hh.ru/vacancy/54604003?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=machine%20learning
Machine Learning and Computer vision developer,з/п не указана,ООО ЭДС,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Мы - современная компания, занимающаяся разработкой ПО в областях:  автоматизированной обработки данных, полученных посредством аэросъемки и дистанционного зондирования земли; трекинг и мониторинг состояния объектов, IoT; разработки цифровых тренажеров с технологиями виртуальной и дополненной реальности, используемых для обучения и тренировки специалистов.  Разрабатываемые программные продукты используются по назначению уже более трех лет. Требования заказчиков и сферы деятельности для применения наших продуктов растут, в связи с чем запускаются новые проекты. Поэтому мы находимся в поиске специалистов по нашим направлениям. Офисы компании территориально расположены в г. Москва и г. Ижевск. Что мы предлагаем:  Современное техническое оснащение. На оборудование, необходимое для работы и наиболее быстрого достижения поставленных целей, компания денег не жалеет. Есть прямой доступ к огромному количеству данных, которые необходимы для решения наших задач. Работу на современном стеке технологий в команде профессионалов. Возможность оказывать влияние на принимаемые технические решения и пути развития продукта. Трудоустройство в соответствии с ТК РФ. Полностью белая заработная плата и полный соц.пакет. Чай, кофе, печеньки и остальные “плюшки”.  Чем нужно будет заниматься:  Анализ и рекомендации по улучшению датасета. Подготовка данных для обучения. Обучение нейронных сетей и анализ (оценка) результатов. Разработка и оптимизация алгоритмов для обработки изображений (видео).  Необходимые знания и опыт для работы у нас:  Хорошие знания математики: линейная алгебра, теория вероятности, статистика, численные методы, мат. анализ, графы. Отличные знания Python3. Знание алгоритмов и структур данных. Опыт решения задач компьютерного зрения: OpenCV Знакомство с библиотеками для анализа данных: numpy, pandas, matplotlib или seaborn. Опыт обучения нейронных сетей. Понимание основ машинного обучения. Знание одного из фреймворков машинного обучения (например: TensorFlow, CNTK, Keras, PyTorch, Caffe, Nvidia TLT и т.д.).  Будет плюсом:  Знание (С/С++, STL) или С#. Опыт работы с Linux (cmake, bash) Опыт работы с фреймворками для инференса нейронных сетей (OpenVino / ONNX Runtime / TensorRT / CoreML) Опыт разработки многопоточных приложений. ",Python Linux SQL PyTorch OpenCV Keras Caffe TensorFlo,https://hh.ru/vacancy/54286707?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=machine%20learning
