name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Продакт-менеджер,от 10 000 000 до 15 000 000 сум на руки,OOO NATURAL JUICE,"Ташкент, 3-й проезд Ниезбек Йули, 4",https://hh.ru/search/vacancy/map?vacancy_id=55226325&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Мы предлагаем:  Пятидневная рабочая неделя Работа с известным брендом и под его началом Работа с профессиональной командой Огромная возможность карьерного роста Еженедельные собрания и дача фидбека от руководства KPI система вознограждений  В одни из задач будет входить:  Организовывать и участвовать в разработке портфельной стратегии Компании отталкиваясь от потребностей участников сегмента Инициировать маркетинговые исследования, направленные на изучение ЦА, восприятия продукта/услуги Участвовать в разработке продуктов совместно с другими подразделениями от момента идеи до продвижения продукта на рынок Создание позиционирования продукта на основе уникальных товарных качеств Разрабоотка упаковки продукта Участвовать в разработке и формировании ценовой стратегии продукции Компании Организовывать разработку прогнозов продаж и KPI для текущих и новых продуктов Проводить анализ выполнения планов продаж и KPI по продуктам Проводить совместные с отделом продаж анализы клиентов, проводить анализ получаемых данных Анализ и трейд-маркетинг нынешних брендов  Для этого нужно:  Иметь опыт продакт-менеджера не менее трех лет Хорошо разбираться в трейд-маркетинге и позиционировании бренда Преимуществом будет работа с пищевой продукцией Высшее образование в сфере финансов, экономики или маркетинга Уверенный пользователь MS Office (Excel в особенности) ",Русский — C2 — В совершенстве Маркетинговый анализ Маркетинговые исследования Разработка нового продукт,https://hh.ru/vacancy/55226325?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
"Product Manager (размещение заказов на производство одежды, обуви, аксессуаров и украшений)",от 200 000 руб. на руки,ООО ЖэТэ-Транс Лимитед,"Красносельская, Москва, Спартаковский переулок, 2с1",https://hh.ru/search/vacancy/map?vacancy_id=48954023&hhtmFrom=vacancy,Требуемый опыт работы: более 6 лет,"Полная занятость, полный день","Для иностранного бренда молодежной марки одежды Premium класса требуется на постоянную работу опытный Product Manager по размещению заказов на производство одежды, обуви, аксессуаров и украшений. Обязанности:  Поиск фабрик и размещение заказов для производства одежды, обуви, аксессуаров и украшений по собственной базе поставщиков, Поиск необходимых тканей и материалов для экспериментального швейного цеха, Предоставление предварительных расчетов себестоимости и количества закупаемых тканей и материалов, Работа с фабриками по производству одежды и продажи тканей в Турции, Португалии, Китае, России, Белоруссии и др., Ведение заказов от момента их размещения до получения на складе (выбор поставщика для каждого заказа, согласование оптимальной цены, технологических особенностей, требований к качеству товара, согласование упаковки, контроль сроков и качества производства), Контроль качества и соответствия товара, работа с претензиями и урегулирование вопросов качества и несоответствия с поставщиками, Переговоры с поставщиками на английском, турецком и/или китайском языке.  КАНДИДАТЫ БЕЗ ОПЫТА РАБОТЫ В СФЕРЕ РАЗМЕЩЕНИЯ ЗАКАЗОВ НА ПРОИЗВОДСТВО ОДЕЖДЫ ПРЕМИУМ КЛАССА НЕ РАССМАТРИВАЮТСЯ !!!",,https://hh.ru/vacancy/48954023?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
Product Manager в международный проект,от 220 000 до 250 000 руб. на руки,Мирафокс,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Компания Mirafox приглашает в команду талантливого Product Manager для работы в известном быстрорастущем интернет-проекте Kwork. Сегодня Kwork - лидер фриланса в рунете. Сейчас проект активно и успешно выходит на международный рынок. Главное:   Менее чем за год доля выручки Kwork с международного рынка приблизилась к 15%. Проект превращается в международный стартап с интернациональной командой, где вскоре английский язык станет языком по умолчанию в некоторых отделах.   Соответственно, Product Manager, работая в международном стартапе с зарубежной командой, получает в свое портфолио проект, который открывает ему двери для работы в любой международной компании. В какой бы глобальной компании вы не мечтали работать, релевантный опыт работы в Kwork поможет этим мечтам в будущем стать реальностью. 2. Kwork – это быстрорастущий проект, в котором планка стандартов качества поднята очень высоко. Создать продукт, который будет конкурировать с публичными компаниями Fiverr и Upwork, ежегодно растущими до 60% - это настоящий вызов для лучших из лучших. Требования:  Опыт запуска успешных продуктов (фич) на рынок. Хорошее видение продукта, способность понимать пользователей и их потребности. Способность глубоко и быстро погружаться в предметную область. Совершенная техническая грамотность. Мощные аналитические способности. Умение составлять сложные алгоритмы. Грамотный, но понятный язык. Умение легко доносить до людей письменно и устно сложные вещи. Отличная коммуникабельность.  Условия работы:  Удаленная работа в команде по комфортному для Вас графику (от 35 часов в неделю) Максимальная свобода Логично выстроенная система коммуникации? Бонусы за решения сложных проблем/задач. Размер бонусов зависит от того, насколько решение увеличило или в перспективе увеличит доход проекта.  Цели продуктовой команды:  Составить конкуренцию на международном рынке таким гигантам, как Fiverr и Upwork (англоязычный сегмент). В течение 3 лет выйти на доход от англоязычного проекта в 80% от общего оборота Kwork. Активный рост выручки на уровне от 65% год к году (совместно с командой маркетинга)  Product Manager улучшает и развивает продукт на всех этапах AARRR воронки, напрямую влияет на рост дохода при сохранении высокого уровня Retention Rate. Присоединяйтесь, если хотите реализовывать крутые идеи, делать рынок фриланса ещё лучше и получать удовольствие от результатов своей работы!",,https://hh.ru/vacancy/55185964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
Менеджер продукта,з/п не указана,ООО СЕУСЛАБ,"Пермь, шоссе Космонавтов, 111к3",https://hh.ru/search/vacancy/map?vacancy_id=55196606&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Обязанности:  Отвечает за создание и эксплуатацию программного продукта/сервиса в соответствии с контрактными обязательствами с заказчиками (ПО в области Big Data для сбора, хранения и анализа данных из социальных сетей) Сбор, анализ и документирование требований к продукту/сервису Описание сценариев использования Постановка задач для команды разработки Разрабатывает и поддерживает в актуальном состоянии план выпуска релизов продукта/сервиса Планирование и груминг бэклога продукта Координация действий архитекторов, аналитиков, программистов, специалистов DevOps, дизайнеров, тестировщиков, технических писателей и прочих специалистов на всех этапах жизненного цикла программного продукта/сервиса Контроль метрик эксплуатации продукта/сервиса Участие в тестировании ИС, проверка основных сценариев использования продукта Написание технической и рабочей документации на всех стадиях реализации проекта (в том числе, в соответствии с ГОСТ)  Требования:  Высшее образование Системное мышление и аналитический склад ума Грамотная речь Лидерские навыки и умение находить общий язык и договариваться в команде Релевантный опыт работы от 3-х лет Базовые знания методологий проектного управления Понимание методологий Agile (Scrum, Kanban) и умение работать с трекерами задач Опыт написания технической и рабочей документации в соответствие с ГОСТами в области информационных технологий  Будет преимуществом:  Знание нотаций UML, ERD, DFD и умение читать и строить модели Опыт программирования на Python, или Java Знание основ SQL  Условия:  Работа со смыслом Интересные и сложные задачи, профессиональное развитие и возможность проявить свои способности, принимая участие в создании Продукта мирового уровня Гибкий график и возможность работать удаленно Оформление по ТК РФ Конкурентная заработная плата и всегда вовремя ",Постановка задач разработчикам Agile Project Management Big Data Анализ требований Системное мышлени,https://hh.ru/vacancy/55196606?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
Product manager,з/п не указана,Jivo,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Кто мы?Jivo - международная продуктовая компания в составе экосистемы Сбера. Наша команда это 170 профессионалов из России, США, Европы, Бразилии, Турции и других стран.Чем мы занимаемся?Наш продукт — платформа для связи с клиентами с помощью различных инструментов: чат на сайте, телефония и обратные звонки, прием сообщений из соцсетей и мессенджеров, корпоративный чат и другие инструменты для коммуникаций.Почему мы?* более 10 лет на рынке* №1 среди аналогичных продуктов (занимаем более 50% рынка во всем мире)* более 280000 клиентов по всему миру* более 200 стран в трафике Мы ищем амбициозного Product Manager, который поможет воплотить наше видение в жизнь и создать лучший продукт. Product Manager в Jivo — самостоятельный entrepreneur который ищет новые точки роста для бизнеса, сам определяет их потенциал и ведет развитие своего продукта от самого начала (discovery) до конца (delivery). Мы ищем Product Manager, который попадет к нам в команду. Рынок очень быстро развивается и нам перестало хватать нас, чтобы охватить весь объем исследований и возможных решений, который мы видим перед нашим продуктом. Мы ждем, что продакт будет генерировать идеи и быстро их проверять с помощью интервью, прототипов и дешёвых MVP новой функциональности, а если понадобится внести изменения в продукт — можно сделать это с помощью своей команды разработки. Не нужно шлифовать узкие метрики - нужно смотреть на полный продукт и наполнять его ценностью, за которую клиенты готовы платить. Ты наш человек, если:  Ты проактивен и самостоятелен, готов брать на себя бoльшую ответственность и достигать там успеха У тебя есть технический бекграунд: системный аналитик, бизнес аналитик, middle - разработчик Ты имеешь опыт управления командой разработки — можешь вместе с командой обсудить сложности, прийти к решению Ты умеешь определять целевые метрики, анализируешь потенциальный выхлоп, проводишь тесты и не боишься многогранно интерпретировать результаты Ты классный коммуникатор Ты измеряешь свои достижения в терминах выручки компании Ты знаешь или очень хочешь узнать, что значат следующие слова:  SQL, Python data science scrum/kanban jobs to be done customer journey map   Знаком с UX  Плюсом будет:  Умение работать с данными — или руками, или в паре с опытным аналитиком Опыт запуска продукта с нуля, вывода его на классные показатели или на нужный уровень выручки  Мы готовы предложить:  Дружелюбную обстановку и отсутсвие бюрократии; Удаленную работу (fulltime); Комфортный вход в проект при поддержке опытного наставника и команды; Честные правила игры - официальное трудоустройство, белая заработная плата, оплачиваемые отпуска и больничные; Заботу о твоем здоровье: ДМС со стоматологией после прохождения исп. срока Курсы английского с корпоративным преподавателем; А ещё мы ценим твое время как соискателя - проводим интервью максимум в два этапа и выставляем оффер в короткие сроки"" ",Product Management Управление проектами Разработка нового продукт,https://hh.ru/vacancy/55191153?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
