name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300575?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300577?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300579?from=vacancy_search_list&query=frontend
Vue.js Frontend Разработчик,з/п не указана,ООО МЕГА Сервис,Москва,,Требуемый опыт работы: 3–6 лет,"Полная занятость, удаленная работа","Наша команда строит систему аналитики недвижимости США.Мы ищем опытных frontend разработчиков JavaScript, которые хорошо разбираются в Vue.js. Проект включает в себя:- Big data- Аналитику- ML- Визуализацию данных- И многое другое Видео демо системы:https://youtu.be/iL4mbYzS32w Frontend stack:- Vue 2- d3- AWS Amplify- HTML/CSS- Mapbox Условия:- Full time- Remote- Отличная ЗП- Гибкий график- Оплачиваемые курсы- Отличная команда из 6 стран Если вам не интересно просто работать в пустую, если вы хотите строить что-то большое и амбициозное, давайте знакомиться!",JavaScript CSS HTML5 HTML Vue.j,https://hh.ru/vacancy/48667307?from=vacancy_search_list&query=frontend
Frontend разработчик,от 80 000 до 120 000 руб. на руки,БейсикДекор,"Бабушкинская, Москва, проезд Дежнёва, 1",https://hh.ru/search/vacancy/map?vacancy_id=48920972,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","О нас:  Работаем с 2010 года; Топ-5 интернет-магазин по продаже светильников в России; 8 филиалов в городах-миллионниках России; Более 50 партнеров в городах России, представляющих бренд BasicDecor; Ведущий поставщик в поставке освещения дизайнерам интерьера; Регулярное участие в социальных проектах; Для сотрудников компании скидки на продукцию; Возможности для дальнейшего профессионального и карьерного роста; Молодая жизнерадостная команда. Открытое к диалогу и инициативам руководство.  В связи с расширением команды ищем frontend разработчика. Пользователями ваших решений будут как клиенты интернет-магазина, так и сотрудники различных подразделений компании. Что требуется:  Знания HTML5, CSS3 Javascript (ES5/ES6) — (Async/await, Promises etc...) Axios Less/Sass Знакомство с npm/scss/flex/postcss Протокол HTTP Webpack BEM Работа с Git Понимание подхода REST  Чем надо будет заниматься:  Адаптивная и кроссбраузерная верстка HTML5, CSS3, JS (ES5, ES6+), W3C Участвовать в разработке интересных, нестандартных, продуктов Разрабатывать новый функционал и интерфейсы Участие в развитии новых продуктов  Что мы предлагаем:  Отлаженные процессы разработки Нетривиальные и интересные задачи Заработная плата по результатам собеседования Стабильные и своевременные выплаты заработной платы 2 раза в месяц График 5/2 время на выбор: 9-18/ 10-19/ 11-20 Оформление по ТК РФ (оплачиваемые больничные листы и отпуск) Дружная команда, в которой царит уютная рабочая атмосфера Офис в шаговой доступности от м. Бабушкинская, БЦ Дежнев Плаза ",JavaScript CSS3 Git HTML5 Sas,https://hh.ru/vacancy/48920972?from=vacancy_search_list&query=frontend
Frontend-разработчик,от 150 000 руб. на руки,ООО ЮНИМ,"Москва, Подсосенский переулок, 23с6",https://hh.ru/search/vacancy/map?vacancy_id=48699169,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Чем мы занимаемся: * Разрабатываем сложный многокомпонентный софт для онкодиагностики с применением современных технологий; * Много экспериментируем с технологиями и инструментами; * Активно используем линтеры, автосборки, автотесты и прочие современные вещи. Какие технологии мы используем: * React (hooks) и Typescript - в новых проектах; * Vue - в старых проектах; * Svelte + SvelteKit + Typescript для микрофронтендов по особым случаям; * Rollup, Webpack, SCSS, Jest и многое другое как вспомогательные инструменты; * Node.JS; * Docker/docker-compose; * Gitlab и Gitlab CI.   Чем тебе предстоит заниматься: * Писать и поддерживать новый код на React; * Рефакторить и поддерживать старый код на Vue; * Изредка поддерживать старый код на Node.JS для совместимости с новым кодом; * Экспериментировать и решать нестандартные задачи на Svelte; * Проводить и проходить ревью; * и решать другие frontend-задачи.   Чего мы ждем: * Отличное знание JS (асинхронные операции, ES6-синтаксис и т. д.); * Опыт коммерческой разработки на базе любых UI-фреймворков (React, Vue, Svelte и др.); * Желание работать со Vue и React (hooks); * Знание HTML+CSS; * Умение работать с Docker/docker-compose; * Опыт работы с современным frontend-стеком (линтеры, бандлеры, транспиляторы, CSS-extensions etc); * Заинтересованность во frontend-разработке и желание в ней развиваться. Плюсом будет: * Опыт работы с Typescript / Svelte / Rollup; * Опыт бэкенд-разработки — Node.JS, SQL и т.д.; * Дух экспериментаторства.   Преимущества работы с нами: * Любим пробовать новое и интересное для решений задач — стек технологий и архитектурных решений ограничен только здравым смыслом; * Интересные люди вокруг — в процессе работы над некоторыми задачами можно (а иногда и нужно) общаться с врачами-диагностами и персоналом лаборатории. Можно приехать в лабораторию в Сколково и получить персональную экскурсию ;) * Крутой контекст. Софт в онкодиагностической лаборатории круче онлайн-магазинов или доставки еды ;) * Открытая и дружелюбная команда, готовая рассказать/посоветовать/помочь; * Все используемые технологии — современные (даже в легаси); * Полная удалёнка с гибким рабочим графиком — можно даже менять местами рабочие дни.",JavaScript TypeScript Git Adobe Photoshop Webpac,https://hh.ru/vacancy/48699169?from=vacancy_search_list&query=frontend
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Frontend-разработчик,от 100 000 до 150 000 руб. на руки,Наймиум,Москва,,Требуемый опыт работы: не требуется,"Полная занятость, удаленная работа","Привет! Мы ищем Frontend-разработчика уровня не ниже Middle в компанию Thesis. Компания Thesis - это стабильный игрок на рынке разработки web-дизайна. Основное направление её деятельности - это создание обучающих порталов, сайтов. Клиентами компании являются такие крупные игроки как: СберУниверситет, Ростелеком, МИСиС, EdCrunch, Просвещение. Тезис является победителем в секторе “Обучение” в кейс-чемпионате Position Oneum.Более того, конкурс проходил обезличенным и жюри выбирало именно по качеству продукта, не зная какие создатели стоят за всем этим. Тем самым Тезис взяли первое место, обойдя конкурентов более, чем на треть баллов. Учредители компании запустили не просто бизнес ради бизнеса, а любят свой продукт всей душой и принимают непосредственное участие во всех бизнес процессах. Кого мы ждем:    У тебя есть опыт работы минимум от 1 года на данной позиции.   У тебя есть уверенное владение современными HTML, CSS, Javascript;   Хорошее знание фреймворка Vue.js;   Ты способен быстро обучаться и писать консистентный код;   Хорошо знаешь кроссбраузерную и кросс-платформенную адаптивную верстку;   Умеешь работать с git и Webpack.   Что нужно будет делать:   Заниматься адаптивной и кроссбраузерной версткой сайтов;   Дорабатывать существующие проекты, повышать их удобство;   Создавать реактивные компоненты, заниматься написанием скриптов;   Поддерживать и развивать текущую архитектуру на основе виджетов и компонентов;   Заниматься разработкой новых npm модулей для существующих веб-приложений; компонентов на Vue;   Проводить рефакторинг (улучшение и оптимизацию кода) существующих проектов;   Взаимодействовать с дизайнерами и разработчиками;   Работать с Jira.   Условия:   Оформление договора с ИП или Самозанятым.   Удаленный формат работы (но можно и в офисе по желанию).   Достойный уровень дохода. (Детально обсуждается на собеседовании, уровень дохода зависит от ваших навыков).   Возможность участвовать в масштабных и образовательных проектах (платформы, LMS).   Профессиональный рост, крутой тимлид, дружная команда.   Если тебя заинтересовала вакансия и у тебя есть необходимые навыки - отправляй свой отклик!",JavaScript Git CSS3 HTML5 HTML Кроссбраузерная верстка Адаптивная верстка Vue.js Webpack Консистентный код Vue Atlassian Jira CSS Jir,https://hh.ru/vacancy/48091208?from=vacancy_search_list&query=frontend
name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300575?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300577?from=vacancy_search_list&query=frontend
Frontend - разработчик в Сбере,з/п не указана,Сбер. IT,Москва,,,,Разрабатывать интерфейсные компоненты: инфраструктура и веб-интерфейсы в зависимости от проекта/продукта. Разрабатывать клиентскую логику на JS. Разрабатывать библиотеку для...Чем будешь заниматься: Отличное знание JavaScript. Практический опыт проектирования и разработки на React. Хорошее знание HTML и CSS. ,,https://hh.ru/vacancy/47300579?from=vacancy_search_list&query=frontend
